"freguesia","municipality","NUTS2","e_none","e_basic","e_secondary","e_superior","l_family","l_holder","l_spouse","l_other_fam","l_regular","l_non_regular","l_non_hired","value_eur","area_ha"
Aboim das Choças,Arcos de Valdevez,Norte,15,61,11,7,34,15,13,6,1,0,0,101072,1921.9
Aguiã,Arcos de Valdevez,Norte,24,68,5,2,70,38,27,5,0,2,0,156561,1642.8
Ázere,Arcos de Valdevez,Norte,3,48,12,5,18,11,5,2,0,1,0,140132,2428.6
Cabana Maior,Arcos de Valdevez,Norte,24,34,5,0,25,15,9,1,0,0,0,189450,152.7
Cabreiro,Arcos de Valdevez,Norte,66,107,23,8,114,71,32,11,6,3,0,612235,221.4
Cendufe,Arcos de Valdevez,Norte,5,35,6,4,30,17,10,3,2,1,0,80108,1292.5
Couto,Arcos de Valdevez,Norte,13,70,17,4,26,13,8,5,0,1,0,132006,2053.3
Gavieira,Arcos de Valdevez,Norte,103,114,36,18,67,34,22,10,2,1,0,1262534,444.4
Gondoriz,Arcos de Valdevez,Norte,34,219,29,16,144,77,49,18,1,5,0,856323,618.5
Jolda (São Paio),Arcos de Valdevez,Norte,4,33,11,10,31,17,10,4,8,2,0,128485,2473.7
Miranda,Arcos de Valdevez,Norte,40,72,3,2,58,36,17,5,0,1,0,216428,565.7
Monte Redondo,Arcos de Valdevez,Norte,5,55,6,3,16,9,4,3,0,0,0,95561,1679.5
Oliveira,Arcos de Valdevez,Norte,8,68,14,5,23,11,7,5,3,1,0,287444,2887.1
Paçô,Arcos de Valdevez,Norte,11,49,13,13,22,12,7,3,16,10,0,369985,2633.9
Padroso,Arcos de Valdevez,Norte,9,29,3,2,30,13,10,7,6,0,0,560826,1811.2
Prozelo,Arcos de Valdevez,Norte,28,88,17,1,80,46,33,2,1,1,0,196338,1384.4
Rio de Moinhos,Arcos de Valdevez,Norte,38,49,12,7,58,35,17,7,0,1,0,140672,1467.9
Rio Frio,Arcos de Valdevez,Norte,41,88,19,3,41,26,12,4,0,1,0,240910,606.0
Sabadim,Arcos de Valdevez,Norte,13,73,10,3,48,26,19,3,0,1,0,154778,1054.1
Senharei,Arcos de Valdevez,Norte,16,59,3,1,43,22,15,7,1,0,0,123967,1489.6
Sistelo,Arcos de Valdevez,Norte,46,73,10,6,92,51,27,15,1,0,1,581940,300.9
Soajo,Arcos de Valdevez,Norte,44,173,42,9,101,61,27,13,8,3,1,852847,238.8
União das freguesias de Alvora e Loureda,Arcos de Valdevez,Norte,15,76,14,14,29,11,10,8,0,1,0,289041,405.0
"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Arcos de Valdevez,Norte,26,32,9,5,13,7,4,3,1,2,0,130880,1476.9
União das freguesias de Arcos de Valdevez (São Paio) e Giela,Arcos de Valdevez,Norte,15,32,21,22,34,18,11,6,2,4,0,270822,2034.7
União das freguesias de Eiras e Mei,Arcos de Valdevez,Norte,13,56,10,5,50,25,20,6,0,1,0,113808,659.3
União das freguesias de Grade e Carralcova,Arcos de Valdevez,Norte,29,120,21,7,66,37,18,11,3,1,0,599058,939.3
União das freguesias de Guilhadeses e Santar,Arcos de Valdevez,Norte,32,82,19,13,56,31,16,9,3,5,0,336293,3093.5
União das freguesias de Jolda (Madalena) e Rio Cabrão,Arcos de Valdevez,Norte,25,67,13,9,40,21,8,10,4,3,1,224535,2040.9
União das freguesias de Padreiro (Salvador e Santa Cristina),Arcos de Valdevez,Norte,10,53,15,2,41,21,18,2,4,2,0,240850,1559.3
União das freguesias de Portela e Extremo,Arcos de Valdevez,Norte,7,56,10,7,46,22,14,9,1,0,0,99309,744.8
União das freguesias de São Jorge e Ermelo,Arcos de Valdevez,Norte,29,96,17,10,48,25,14,9,1,3,1,468066,282.3
União das freguesias de Souto e Tabaçô,Arcos de Valdevez,Norte,29,84,30,17,51,25,16,10,1,2,1,230317,1646.2
União das freguesias de Távora (Santa Maria e São Vicente),Arcos de Valdevez,Norte,43,118,22,17,127,69,45,14,0,2,0,301108,1896.1
"União das freguesias de Vilela, São Cosme e São Damião e Sá",Arcos de Valdevez,Norte,21,93,18,24,85,41,27,17,2,3,0,363645,1501.0
Vale,Arcos de Valdevez,Norte,18,143,25,5,80,41,26,13,1,1,0,381719,795.5
Âncora,Caminha,Norte,13,38,3,5,17,7,5,5,0,2,0,113801,4188.5
Argela,Caminha,Norte,3,18,3,5,7,4,1,2,0,0,0,38738,1151.9
